year;port_name;nuclear_available_from_year;maturity_factor;allocation_share;allocated_new_ship_loadings;allocated_refuellings;allocated_total_service_events;allocated_initial_fuel_loading_tons;allocated_refueling_tons;allocated_fuel_throughput_tons;allocated_initial_fuel_loading_pebbles;allocated_refueling_pebbles;allocated_fuel_throughput_pebbles;allocated_fresh_fuel_storage_m3;allocated_spent_fuel_storage_m3;allocated_waste_m3;allocated_truckloads
2052;Provideniya;2041;1.0;0.06451612903225806;3.032258064516129;6.838709677419355;9.870967741935484;7.832661290322617;17.708165322580648;23.96253360215054;979082.6612903273;2213520.66532258;2995316.7002688176;9026.87324104209;18646.060999212914;8469.058446665402;252.7741935483871
2052;Busan;2045;1.0;0.09274193548387095;4.358870967741935;9.830645161290322;14.189516129032256;11.259450604838761;25.45548765120968;34.4461420530914;1407431.3256048455;3181935.9564012084;4305767.756636425;12976.130283998004;26803.71268636856;12174.271517081514;363.3629032258064
2052;Jebel Ali;2045;1.0;0.1129032258064516;5.306451612903225;11.967741935483868;17.274193548387093;13.707157258064578;30.98928931451613;41.93443380376344;1713394.6572580726;3873661.1643145145;5241804.22547043;15797.028171823657;32630.606748622595;14820.85228166445;442.3548387096774
2052;Los Angeles;2050;1.0;0.07661290322580644;3.6008064516129026;8.120967741935482;11.721774193548384;9.301285282258107;21.028446320564516;28.45550865255376;1162660.6602822635;2628555.7900705636;3556938.5815692204;10719.411973737482;22142.197436565333;10057.006905415163;300.16935483870964
2052;Algeciras;2050;1.0;0.12096774193548386;5.685483870967741;12.82258064516129;18.508064516129032;14.686239919354906;33.20280997983871;44.929750504032256;1835779.9899193638;4150351.2474798374;5616218.813004033;16925.387326953918;34961.36437352421;15879.484587497627;473.9516129032258
2052;Murmansk;2050;1.0;0.09274193548387095;4.358870967741935;9.830645161290322;14.189516129032256;11.259450604838761;25.45548765120968;34.4461420530914;1407431.3256048455;3181935.9564012084;4305767.756636425;12976.130283998004;26803.71268636856;12174.271517081514;363.3629032258064
2053;Rotterdam;2037;1.0;0.10483870967741936;3.564516129032258;13.20967741935484;16.774193548387096;9.135164650537625;35.063361055107535;40.76615003360215;1141895.5813172031;4382920.131888443;5095768.7542002695;15621.048411339894;40280.920268891976;14407.946714329179;812.2903225806452
2053;Singapore;2038;1.0;0.10887096774193548;3.7016129032258065;13.717741935483872;17.419354838709676;9.486517137096763;36.41195186491936;42.33407888104839;1185814.6421370953;4551493.983114921;5291759.860131049;16221.857965622197;41830.186433080125;14962.098511034146;843.5322580645161
2053;Hamburg;2038;1.0;0.10483870967741936;3.564516129032258;13.20967741935484;16.774193548387096;9.135164650537625;35.063361055107535;40.76615003360215;1141895.5813172031;4382920.131888443;5095768.7542002695;15621.048411339894;40280.920268891976;14407.946714329179;812.2903225806452
2053;Shanghai;2040;1.0;0.12096774193548386;4.112903225806451;15.241935483870966;19.354838709677416;10.540574596774182;40.45772429435484;47.037865423387096;1317571.8245967727;5057215.536794356;5879733.177923387;18024.286628469104;46477.98492564458;16624.55390114905;937.2580645161289
2053;Provideniya;2041;1.0;0.06451612903225806;2.193548387096774;8.129032258064516;10.32258064516129;5.621639784946231;21.577452956989248;25.086861559139784;702704.9731182788;2697181.619623657;3135857.694892473;9612.952868516857;24788.258627010444;8866.428747279495;499.8709677419355
2053;Busan;2045;1.0;0.09274193548387095;3.1532258064516125;11.68548387096774;14.838709677419352;8.081107190860205;31.017588625672044;36.06236349126344;1010138.3988575255;3877198.5782090058;4507795.436407929;13818.61974849298;35633.12177632751;12745.491324214272;718.5645161290322
2053;Jebel Ali;2045;1.0;0.1129032258064516;3.838709677419354;14.2258064516129;18.064516129032256;9.837869623655902;37.760542674731184;43.90200772849462;1229733.7029569875;4720067.834341398;5487750.966061828;16822.6675199045;43379.452597268275;15516.250307739112;874.774193548387
2053;Los Angeles;2050;1.0;0.07661290322580644;2.604838709677419;9.653225806451612;12.25806451612903;6.675697244623648;25.62322538642473;29.790648101478492;834462.1555779559;3202903.173303092;3723831.0126848114;11415.381531363766;29436.0571195749;10528.884137394398;593.5967741935483
